0,4.63139
1,5.20055
2,4.43108
3,5.00075
4,5.05224
5,4.9987
6,5.02509
7,4.96259
8,4.97309
9,4.99051
10,5.07298
11,5.03713
12,5.08323
13,5.01868
14,5.09117
15,5.07862
16,5.08887
17,5.05198
18,5.13113
19,4.9257
20,4.84629
21,4.82171
22,4.89957
23,4.65752
24,4.77688
25,4.87678
26,4.8112
27,4.78508
28,4.87575
29,5.08297
30,4.89266
31,4.82478
32,4.86115
33,4.87293
34,4.87985
35,4.86038
36,4.82299
37,4.8235
38,4.83067
39,4.88011
40,4.88267
41,4.85167
42,4.91674
43,4.86448
44,4.8778
45,4.84143
46,4.87678
47,4.84168
48,4.87114
49,4.86986
50,4.87345
51,4.84117
52,4.88779
53,4.84578
54,4.8235
55,4.84937
56,4.84655
57,4.85398
58,4.9029
59,4.8778
60,4.89881
61,4.88036
62,4.91187
63,4.86371
64,4.86269
65,4.8276
66,4.8714
67,4.87293
68,4.92109
69,4.91341
70,4.97616
71,4.96566
72,4.91238
73,5.01535
74,5.00844
75,4.77381
76,4.92314
77,4.91674
78,4.97411
79,4.91597
80,4.92775
81,4.90342
82,4.93262
83,4.7487
84,4.95618
85,4.91827
86,4.97795
87,4.91136
88,5.01715
89,4.96412
90,4.94722
91,4.96873
92,4.99076
93,4.97283
94,4.98615
95,4.9467
96,4.7779
97,4.97027
98,4.9923
99,4.97386
Average,4.91115
